Rank,date,fullName,nationality
15,2017-05-18,Glenn Maxwell,AUS
16,2017-05-18,Sean Williams,ZIM
17,2017-05-18,Imad Wasim,PAK
18,2017-05-18,Mitchell Starc,AUS
19,2017-05-18,Kane Williamson,NZ
20,2017-05-18,Adil Rashid,ENG
1,2017-05-19,Shakib Al Hasan,BAN
2,2017-05-19,Mohammad Hafeez,PAK
3,2017-05-19,Mohammad Nabi,AFG
4,2017-05-19,James Faulkner,AUS
5,2017-05-19,Angelo Mathews,SL
6,2017-05-19,Mitchell Marsh,AUS
7,2017-05-19,Jason Holder,WI
8,2017-05-19,Ben Stokes,ENG
9,2017-05-19,Chris Woakes,ENG
10,2017-05-19,Ravindra Jadeja,IND
11,2017-05-19,Mitchell Santner,NZ
12,2017-05-19,Kevin O'Brien,IRE
13,2017-05-19,Moeen Ali,ENG
14,2017-05-19,Glenn Maxwell,AUS
15,2017-05-19,Sean Williams,ZIM
16,2017-05-19,Imad Wasim,PAK
17,2017-05-19,Paul Stirling,IRE
18,2017-05-19,Mitchell Starc,AUS
19,2017-05-19,Kane Williamson,NZ
20,2017-05-19,Adil Rashid,ENG
1,2017-05-20,Shakib Al Hasan,BAN
2,2017-05-20,Mohammad Hafeez,PAK
3,2017-05-20,Mohammad Nabi,AFG
4,2017-05-20,James Faulkner,AUS
5,2017-05-20,Angelo Mathews,SL
6,2017-05-20,Mitchell Marsh,AUS
7,2017-05-20,Jason Holder,WI
8,2017-05-20,Ben Stokes,ENG
9,2017-05-20,Chris Woakes,ENG
10,2017-05-20,Ravindra Jadeja,IND
11,2017-05-20,Mitchell Santner,NZ
12,2017-05-20,Kevin O'Brien,IRE
13,2017-05-20,Moeen Ali,ENG
14,2017-05-20,Glenn Maxwell,AUS
15,2017-05-20,Sean Williams,ZIM
16,2017-05-20,Imad Wasim,PAK
17,2017-05-20,Paul Stirling,IRE
18,2017-05-20,Mitchell Starc,AUS
19,2017-05-20,Kane Williamson,NZ
20,2017-05-20,Adil Rashid,ENG
1,2017-05-21,Shakib Al Hasan,BAN
2,2017-05-21,Mohammad Hafeez,PAK
3,2017-05-21,Mohammad Nabi,AFG
4,2017-05-21,James Faulkner,AUS
5,2017-05-21,Angelo Mathews,SL
6,2017-05-21,Mitchell Marsh,AUS
7,2017-05-21,Jason Holder,WI
8,2017-05-21,Ben Stokes,ENG
9,2017-05-21,Chris Woakes,ENG
10,2017-05-21,Mitchell Santner,NZ
11,2017-05-21,Ravindra Jadeja,IND
12,2017-05-21,Kevin O'Brien,IRE
13,2017-05-21,Moeen Ali,ENG
14,2017-05-21,Glenn Maxwell,AUS
15,2017-05-21,Sean Williams,ZIM
16,2017-05-21,Imad Wasim,PAK
17,2017-05-21,Mitchell Starc,AUS
18,2017-05-21,Adil Rashid,ENG
19,2017-05-21,Kane Williamson,NZ
20,2017-05-21,Paul Stirling,IRE
1,2017-05-22,Shakib Al Hasan,BAN
2,2017-05-22,Mohammad Hafeez,PAK
3,2017-05-22,Mohammad Nabi,AFG
4,2017-05-22,James Faulkner,AUS
5,2017-05-22,Angelo Mathews,SL
6,2017-05-22,Mitchell Marsh,AUS
7,2017-05-22,Jason Holder,WI
8,2017-05-22,Ben Stokes,ENG
9,2017-05-22,Chris Woakes,ENG
10,2017-05-22,Mitchell Santner,NZ
11,2017-05-22,Ravindra Jadeja,IND
12,2017-05-22,Kevin O'Brien,IRE
13,2017-05-22,Moeen Ali,ENG
14,2017-05-22,Glenn Maxwell,AUS
15,2017-05-22,Sean Williams,ZIM
16,2017-05-22,Imad Wasim,PAK
17,2017-05-22,Mitchell Starc,AUS
18,2017-05-22,Adil Rashid,ENG
19,2017-05-22,Kane Williamson,NZ
20,2017-05-22,Paul Stirling,IRE
1,2017-05-23,Shakib Al Hasan,BAN
2,2017-05-23,Mohammad Hafeez,PAK
3,2017-05-23,Mohammad Nabi,AFG
4,2017-05-23,James Faulkner,AUS
5,2017-05-23,Angelo Mathews,SL
6,2017-05-23,Mitchell Marsh,AUS
7,2017-05-23,Jason Holder,WI
8,2017-05-23,Ben Stokes,ENG
9,2017-05-23,Chris Woakes,ENG
10,2017-05-23,Mitchell Santner,NZ
11,2017-05-23,Ravindra Jadeja,IND
12,2017-05-23,Kevin O'Brien,IRE
13,2017-05-23,Moeen Ali,ENG
14,2017-05-23,Glenn Maxwell,AUS
15,2017-05-23,Sean Williams,ZIM
16,2017-05-23,Imad Wasim,PAK
17,2017-05-23,Mitchell Starc,AUS
18,2017-05-23,Adil Rashid,ENG
19,2017-05-23,Kane Williamson,NZ
20,2017-05-23,Paul Stirling,IRE
1,2017-05-24,Shakib Al Hasan,BAN
2,2017-05-24,Mohammad Hafeez,PAK
3,2017-05-24,Mohammad Nabi,AFG
4,2017-05-24,James Faulkner,AUS
5,2017-05-24,Angelo Mathews,SL
6,2017-05-24,Mitchell Marsh,AUS
7,2017-05-24,Jason Holder,WI
8,2017-05-24,Chris Woakes,ENG
9,2017-05-24,Moeen Ali,ENG
10,2017-05-24,Ben Stokes,ENG
11,2017-05-24,Ravindra Jadeja,IND
12,2017-05-24,Mitchell Santner,NZ
13,2017-05-24,Kevin O'Brien,IRE
14,2017-05-24,Glenn Maxwell,AUS
15,2017-05-24,Sean Williams,ZIM
16,2017-05-24,Imad Wasim,PAK
17,2017-05-24,Mohammad Nasir Hossain,BAN
18,2017-05-24,Mitchell Starc,AUS
19,2017-05-24,Adil Rashid,ENG
20,2017-05-24,Paul Stirling,IRE
1,2017-05-25,Shakib Al Hasan,BAN
2,2017-05-25,Mohammad Hafeez,PAK
3,2017-05-25,Mohammad Nabi,AFG
4,2017-05-25,James Faulkner,AUS
5,2017-05-25,Angelo Mathews,SL
6,2017-05-25,Mitchell Marsh,AUS
7,2017-05-25,Jason Holder,WI
8,2017-05-25,Chris Woakes,ENG
9,2017-05-25,Moeen Ali,ENG
10,2017-05-25,Ben Stokes,ENG
11,2017-05-25,Ravindra Jadeja,IND
12,2017-05-25,Mitchell Santner,NZ
13,2017-05-25,Kevin O'Brien,IRE
14,2017-05-25,Glenn Maxwell,AUS
15,2017-05-25,Sean Williams,ZIM
16,2017-05-25,Imad Wasim,PAK
17,2017-05-25,Mohammad Nasir Hossain,BAN
18,2017-05-25,Mitchell Starc,AUS
19,2017-05-25,Adil Rashid,ENG
20,2017-05-25,Paul Stirling,IRE
1,2017-05-26,Shakib Al Hasan,BAN
2,2017-05-26,Mohammad Hafeez,PAK
3,2017-05-26,Mohammad Nabi,AFG
4,2017-05-26,James Faulkner,AUS
5,2017-05-26,Angelo Mathews,SL
6,2017-05-26,Mitchell Marsh,AUS
7,2017-05-26,Jason Holder,WI
8,2017-05-26,Chris Woakes,ENG
9,2017-05-26,Moeen Ali,ENG
10,2017-05-26,Ben Stokes,ENG
11,2017-05-26,Ravindra Jadeja,IND
12,2017-05-26,Mitchell Santner,NZ
13,2017-05-26,Kevin O'Brien,IRE
14,2017-05-26,Glenn Maxwell,AUS
15,2017-05-26,Sean Williams,ZIM
16,2017-05-26,Imad Wasim,PAK
17,2017-05-26,Mohammad Nasir Hossain,BAN
18,2017-05-26,Mitchell Starc,AUS
19,2017-05-26,Adil Rashid,ENG
20,2017-05-26,Paul Stirling,IRE
1,2017-05-27,Shakib Al Hasan,BAN
2,2017-05-27,Mohammad Hafeez,PAK
3,2017-05-27,Mohammad Nabi,AFG
4,2017-05-27,James Faulkner,AUS
5,2017-05-27,Angelo Mathews,SL
6,2017-05-27,Mitchell Marsh,AUS
7,2017-05-27,Ben Stokes,ENG
8,2017-05-27,Jason Holder,WI
9,2017-05-27,Chris Woakes,ENG
10,2017-05-27,Moeen Ali,ENG
11,2017-05-27,Ravindra Jadeja,IND
12,2017-05-27,Mitchell Santner,NZ
13,2017-05-27,Kevin O'Brien,IRE
14,2017-05-27,Glenn Maxwell,AUS
15,2017-05-27,Sean Williams,ZIM
16,2017-05-27,Imad Wasim,PAK
17,2017-05-27,Mohammad Nasir Hossain,BAN
18,2017-05-27,Mitchell Starc,AUS
19,2017-05-27,Paul Stirling,IRE
20,2017-05-27,Kane Williamson,NZ
1,2017-05-28,Shakib Al Hasan,BAN
2,2017-05-28,Mohammad Hafeez,PAK
3,2017-05-28,Mohammad Nabi,AFG
4,2017-05-28,James Faulkner,AUS
5,2017-05-28,Angelo Mathews,SL
6,2017-05-28,Mitchell Marsh,AUS
7,2017-05-28,Ben Stokes,ENG
8,2017-05-28,Jason Holder,WI
9,2017-05-28,Chris Woakes,ENG
10,2017-05-28,Moeen Ali,ENG
11,2017-05-28,Ravindra Jadeja,IND
12,2017-05-28,Mitchell Santner,NZ
13,2017-05-28,Kevin O'Brien,IRE
14,2017-05-28,Glenn Maxwell,AUS
15,2017-05-28,Sean Williams,ZIM
16,2017-05-28,Imad Wasim,PAK
17,2017-05-28,Mohammad Nasir Hossain,BAN
18,2017-05-28,Mitchell Starc,AUS
19,2017-05-28,Paul Stirling,IRE
20,2017-05-28,Kane Williamson,NZ
1,2017-05-29,Shakib Al Hasan,BAN
2,2017-05-29,Mohammad Hafeez,PAK
3,2017-05-29,Mohammad Nabi,AFG
4,2017-05-29,James Faulkner,AUS
5,2017-05-29,Angelo Mathews,SL
6,2017-05-29,Mitchell Marsh,AUS
7,2017-05-29,Ben Stokes,ENG
8,2017-05-29,Jason Holder,WI
9,2017-05-29,Chris Woakes,ENG
10,2017-05-29,Moeen Ali,ENG
11,2017-05-29,Ravindra Jadeja,IND
12,2017-05-29,Mitchell Santner,NZ
13,2017-05-29,Kevin O'Brien,IRE
14,2017-05-29,Glenn Maxwell,AUS
15,2017-05-29,Sean Williams,ZIM
16,2017-05-29,Imad Wasim,PAK
17,2017-05-29,Mohammad Nasir Hossain,BAN
18,2017-05-29,Mitchell Starc,AUS
19,2017-05-29,Paul Stirling,IRE
20,2017-05-29,Kane Williamson,NZ
1,2017-05-30,Shakib Al Hasan,BAN
2,2017-05-30,Mohammad Hafeez,PAK
3,2017-05-30,Mohammad Nabi,AFG
4,2017-05-30,James Faulkner,AUS
5,2017-05-30,Angelo Mathews,SL
6,2017-05-30,Mitchell Marsh,AUS
7,2017-05-30,Ben Stokes,ENG
8,2017-05-30,Jason Holder,WI
9,2017-05-30,Chris Woakes,ENG
10,2017-05-30,Moeen Ali,ENG
11,2017-05-30,Ravindra Jadeja,IND
12,2017-05-30,Mitchell Santner,NZ
13,2017-05-30,Kevin O'Brien,IRE
14,2017-05-30,Glenn Maxwell,AUS
15,2017-05-30,Sean Williams,ZIM
16,2017-05-30,Imad Wasim,PAK
17,2017-05-30,Mohammad Nasir Hossain,BAN
18,2017-05-30,Mitchell Starc,AUS
19,2017-05-30,Paul Stirling,IRE
20,2017-05-30,Kane Williamson,NZ
1,2017-05-31,Shakib Al Hasan,BAN
2,2017-05-31,Mohammad Hafeez,PAK
3,2017-05-31,Mohammad Nabi,AFG
4,2017-05-31,James Faulkner,AUS
5,2017-05-31,Angelo Mathews,SL
6,2017-05-31,Mitchell Marsh,AUS
7,2017-05-31,Ben Stokes,ENG
8,2017-05-31,Jason Holder,WI
9,2017-05-31,Chris Woakes,ENG
10,2017-05-31,Moeen Ali,ENG
11,2017-05-31,Ravindra Jadeja,IND
12,2017-05-31,Mitchell Santner,NZ
13,2017-05-31,Kevin O'Brien,IRE
14,2017-05-31,Glenn Maxwell,AUS
15,2017-05-31,Sean Williams,ZIM
16,2017-05-31,Imad Wasim,PAK
17,2017-05-31,Mohammad Nasir Hossain,BAN
18,2017-05-31,Mitchell Starc,AUS
19,2017-05-31,Paul Stirling,IRE
20,2017-05-31,Kane Williamson,NZ
1,2017-06-01,Mohammad Hafeez,PAK
2,2017-06-01,Shakib Al Hasan,BAN
3,2017-06-01,Mohammad Nabi,AFG
4,2017-06-01,James Faulkner,AUS
5,2017-06-01,Angelo Mathews,SL
6,2017-06-01,Mitchell Marsh,AUS
7,2017-06-01,Ben Stokes,ENG
8,2017-06-01,Jason Holder,WI
9,2017-06-01,Chris Woakes,ENG
10,2017-06-01,Moeen Ali,ENG
11,2017-06-01,Ravindra Jadeja,IND
12,2017-06-01,Mitchell Santner,NZ
13,2017-06-01,Kevin O'Brien,IRE
14,2017-06-01,Glenn Maxwell,AUS
15,2017-06-01,Sean Williams,ZIM
16,2017-06-01,Imad Wasim,PAK
17,2017-06-01,Mohammad Nasir Hossain,BAN
18,2017-06-01,Mitchell Starc,AUS
19,2017-06-01,Paul Stirling,IRE
20,2017-06-01,Kane Williamson,NZ
1,2017-06-02,Mohammad Hafeez,PAK
2,2017-06-02,Shakib Al Hasan,BAN
3,2017-06-02,Mohammad Nabi,AFG
4,2017-06-02,Angelo Mathews,SL
5,2017-06-02,James Faulkner,AUS
6,2017-06-02,Mitchell Marsh,AUS
7,2017-06-02,Ben Stokes,ENG
8,2017-06-02,Jason Holder,WI
9,2017-06-02,Chris Woakes,ENG
10,2017-06-02,Moeen Ali,ENG
11,2017-06-02,Ravindra Jadeja,IND
12,2017-06-02,Mitchell Santner,NZ
13,2017-06-02,Kevin O'Brien,IRE
14,2017-06-02,Sean Williams,ZIM
15,2017-06-02,Imad Wasim,PAK
16,2017-06-02,Glenn Maxwell,AUS
17,2017-06-02,Mohammad Nasir Hossain,BAN
18,2017-06-02,Kane Williamson,NZ
19,2017-06-02,Paul Stirling,IRE
20,2017-06-02,Mitchell Starc,AUS
1,2017-06-03,Mohammad Hafeez,PAK
2,2017-06-03,Shakib Al Hasan,BAN
3,2017-06-03,Mohammad Nabi,AFG
4,2017-06-03,Angelo Mathews,SL
5,2017-06-03,James Faulkner,AUS
6,2017-06-03,Mitchell Marsh,AUS
7,2017-06-03,Ben Stokes,ENG
8,2017-06-03,Jason Holder,WI
9,2017-06-03,Chris Woakes,ENG
10,2017-06-03,Moeen Ali,ENG
11,2017-06-03,Ravindra Jadeja,IND
12,2017-06-03,Mitchell Santner,NZ
13,2017-06-03,Kevin O'Brien,IRE
14,2017-06-03,Sean Williams,ZIM
15,2017-06-03,Imad Wasim,PAK
16,2017-06-03,Glenn Maxwell,AUS
17,2017-06-03,Mohammad Nasir Hossain,BAN
18,2017-06-03,Kane Williamson,NZ
19,2017-06-03,Paul Stirling,IRE
20,2017-06-03,Mitchell Starc,AUS
1,2017-06-04,Shakib Al Hasan,BAN
2,2017-06-04,Mohammad Hafeez,PAK
3,2017-06-04,Mohammad Nabi,AFG
4,2017-06-04,Angelo Mathews,SL
5,2017-06-04,James Faulkner,AUS
6,2017-06-04,Mitchell Marsh,AUS
7,2017-06-04,Ben Stokes,ENG
8,2017-06-04,Jason Holder,WI
9,2017-06-04,Chris Woakes,ENG
10,2017-06-04,Ravindra Jadeja,IND
11,2017-06-04,Moeen Ali,ENG
12,2017-06-04,Mitchell Santner,NZ
13,2017-06-04,Kevin O'Brien,IRE
14,2017-06-04,Sean Williams,ZIM
15,2017-06-04,Glenn Maxwell,AUS
16,2017-06-04,Mohammad Nasir Hossain,BAN
17,2017-06-04,Imad Wasim,PAK
18,2017-06-04,Kane Williamson,NZ
19,2017-06-04,Paul Stirling,IRE
20,2017-06-04,Mitchell Starc,AUS
1,2017-06-05,Mohammad Hafeez,PAK
2,2017-06-05,Shakib Al Hasan,BAN
3,2017-06-05,Mohammad Nabi,AFG
4,2017-06-05,Angelo Mathews,SL
5,2017-06-05,James Faulkner,AUS
6,2017-06-05,Mitchell Marsh,AUS
7,2017-06-05,Ben Stokes,ENG
8,2017-06-05,Jason Holder,WI
9,2017-06-05,Chris Woakes,ENG
10,2017-06-05,Ravindra Jadeja,IND
11,2017-06-05,Moeen Ali,ENG
12,2017-06-05,Mitchell Santner,NZ
13,2017-06-05,Kevin O'Brien,IRE
14,2017-06-05,Sean Williams,ZIM
15,2017-06-05,Glenn Maxwell,AUS
16,2017-06-05,Mitchell Starc,AUS
17,2017-06-05,Imad Wasim,PAK
18,2017-06-05,Kane Williamson,NZ
19,2017-06-05,Mohammad Nasir Hossain,BAN
20,2017-06-05,Paul Stirling,IRE
1,2017-06-06,Mohammad Hafeez,PAK
2,2017-06-06,Shakib Al Hasan,BAN
3,2017-06-06,Mohammad Nabi,AFG
4,2017-06-06,Angelo Mathews,SL
5,2017-06-06,James Faulkner,AUS
6,2017-06-06,Ben Stokes,ENG
7,2017-06-06,Mitchell Marsh,AUS
8,2017-06-06,Jason Holder,WI
9,2017-06-06,Ravindra Jadeja,IND
10,2017-06-06,Chris Woakes,ENG
11,2017-06-06,Moeen Ali,ENG
12,2017-06-06,Kevin O'Brien,IRE
13,2017-06-06,Mitchell Santner,NZ
14,2017-06-06,Sean Williams,ZIM
15,2017-06-06,Glenn Maxwell,AUS
16,2017-06-06,Mitchell Starc,AUS
17,2017-06-06,Kane Williamson,NZ
18,2017-06-06,Imad Wasim,PAK
19,2017-06-06,Mohammad Nasir Hossain,BAN
20,2017-06-06,Paul Stirling,IRE
1,2017-06-07,Shakib Al Hasan,BAN
2,2017-06-07,Mohammad Hafeez,PAK
3,2017-06-07,Mohammad Nabi,AFG
4,2017-06-07,Angelo Mathews,SL
5,2017-06-07,James Faulkner,AUS
6,2017-06-07,Ben Stokes,ENG
7,2017-06-07,Mitchell Marsh,AUS
8,2017-06-07,Jason Holder,WI
9,2017-06-07,Ravindra Jadeja,IND
10,2017-06-07,Chris Woakes,ENG
11,2017-06-07,Moeen Ali,ENG
12,2017-06-07,Kevin O'Brien,IRE
13,2017-06-07,Mitchell Santner,NZ
14,2017-06-07,Imad Wasim,PAK
15,2017-06-07,Sean Williams,ZIM
16,2017-06-07,Glenn Maxwell,AUS
17,2017-06-07,Mitchell Starc,AUS
18,2017-06-07,Kane Williamson,NZ
19,2017-06-07,Mohammad Nasir Hossain,BAN
20,2017-06-07,Paul Stirling,IRE
1,2017-06-08,Shakib Al Hasan,BAN
2,2017-06-08,Mohammad Hafeez,PAK
3,2017-06-08,Mohammad Nabi,AFG
4,2017-06-08,Angelo Mathews,SL
5,2017-06-08,James Faulkner,AUS
6,2017-06-08,Ben Stokes,ENG
7,2017-06-08,Mitchell Marsh,AUS
8,2017-06-08,Jason Holder,WI
9,2017-06-08,Chris Woakes,ENG
10,2017-06-08,Moeen Ali,ENG
11,2017-06-08,Ravindra Jadeja,IND
12,2017-06-08,Kevin O'Brien,IRE
13,2017-06-08,Mitchell Santner,NZ
14,2017-06-08,Imad Wasim,PAK
15,2017-06-08,Sean Williams,ZIM
16,2017-06-08,Glenn Maxwell,AUS
17,2017-06-08,Mitchell Starc,AUS
18,2017-06-08,Kane Williamson,NZ
19,2017-06-08,Mohammad Nasir Hossain,BAN
20,2017-06-08,Paul Stirling,IRE
1,2017-06-09,Shakib Al Hasan,BAN
2,2017-06-09,Mohammad Hafeez,PAK
3,2017-06-09,Mohammad Nabi,AFG
4,2017-06-09,Angelo Mathews,SL
5,2017-06-09,James Faulkner,AUS
6,2017-06-09,Ben Stokes,ENG
7,2017-06-09,Mitchell Marsh,AUS
8,2017-06-09,Chris Woakes,ENG
9,2017-06-09,Moeen Ali,ENG
10,2017-06-09,Jason Holder,WI
11,2017-06-09,Ravindra Jadeja,IND
12,2017-06-09,Mitchell Santner,NZ
13,2017-06-09,Kevin O'Brien,IRE
14,2017-06-09,Imad Wasim,PAK
15,2017-06-09,Sean Williams,ZIM
16,2017-06-09,Glenn Maxwell,AUS
17,2017-06-09,Mitchell Starc,AUS
18,2017-06-09,Kane Williamson,NZ
19,2017-06-09,Paul Stirling,IRE
20,2017-06-09,Mohammad Nasir Hossain,BAN
1,2017-06-10,Shakib Al Hasan,BAN
2,2017-06-10,Mohammad Hafeez,PAK
3,2017-06-10,Mohammad Nabi,AFG
4,2017-06-10,Angelo Mathews,SL
5,2017-06-10,James Faulkner,AUS
6,2017-06-10,Ben Stokes,ENG
7,2017-06-10,Mitchell Marsh,AUS
8,2017-06-10,Chris Woakes,ENG
9,2017-06-10,Jason Holder,WI
10,2017-06-10,Moeen Ali,ENG
11,2017-06-10,Ravindra Jadeja,IND
12,2017-06-10,Mitchell Santner,NZ
13,2017-06-10,Kevin O'Brien,IRE
14,2017-06-10,Imad Wasim,PAK
15,2017-06-10,Sean Williams,ZIM
16,2017-06-10,Adil Rashid,ENG
17,2017-06-10,Glenn Maxwell,AUS
18,2017-06-10,Kane Williamson,NZ
19,2017-06-10,Paul Stirling,IRE
20,2017-06-10,Mitchell Starc,AUS
1,2017-06-11,Shakib Al Hasan,BAN
2,2017-06-11,Mohammad Hafeez,PAK
3,2017-06-11,Mohammad Nabi,AFG
4,2017-06-11,Angelo Mathews,SL
5,2017-06-11,James Faulkner,AUS
6,2017-06-11,Ben Stokes,ENG
7,2017-06-11,Mitchell Marsh,AUS
8,2017-06-11,Ravindra Jadeja,IND
9,2017-06-11,Chris Woakes,ENG
10,2017-06-11,Jason Holder,WI
11,2017-06-11,Moeen Ali,ENG
12,2017-06-11,Mitchell Santner,NZ
13,2017-06-11,Kevin O'Brien,IRE
14,2017-06-11,Imad Wasim,PAK
15,2017-06-11,Sean Williams,ZIM
16,2017-06-11,Adil Rashid,ENG
17,2017-06-11,Glenn Maxwell,AUS
18,2017-06-11,Kane Williamson,NZ
19,2017-06-11,Paul Stirling,IRE
20,2017-06-11,Mitchell Starc,AUS
1,2017-06-12,Shakib Al Hasan,BAN
2,2017-06-12,Mohammad Hafeez,PAK
3,2017-06-12,Mohammad Nabi,AFG
4,2017-06-12,Angelo Mathews,SL
5,2017-06-12,James Faulkner,AUS
6,2017-06-12,Ben Stokes,ENG
7,2017-06-12,Mitchell Marsh,AUS
8,2017-06-12,Ravindra Jadeja,IND
9,2017-06-12,Chris Woakes,ENG
10,2017-06-12,Jason Holder,WI
11,2017-06-12,Moeen Ali,ENG
12,2017-06-12,Mitchell Santner,NZ
13,2017-06-12,Kevin O'Brien,IRE
14,2017-06-12,Imad Wasim,PAK
15,2017-06-12,Sean Williams,ZIM
16,2017-06-12,Adil Rashid,ENG
17,2017-06-12,Glenn Maxwell,AUS
18,2017-06-12,Kane Williamson,NZ
19,2017-06-12,Paul Stirling,IRE
20,2017-06-12,Mitchell Starc,AUS
1,2017-06-13,Shakib Al Hasan,BAN
2,2017-06-13,Mohammad Hafeez,PAK
3,2017-06-13,Mohammad Nabi,AFG
4,2017-06-13,Angelo Mathews,SL
5,2017-06-13,James Faulkner,AUS
6,2017-06-13,Ben Stokes,ENG
7,2017-06-13,Mitchell Marsh,AUS
8,2017-06-13,Ravindra Jadeja,IND
9,2017-06-13,Chris Woakes,ENG
10,2017-06-13,Jason Holder,WI
11,2017-06-13,Moeen Ali,ENG
12,2017-06-13,Mitchell Santner,NZ
13,2017-06-13,Kevin O'Brien,IRE
14,2017-06-13,Imad Wasim,PAK
15,2017-06-13,Sean Williams,ZIM
16,2017-06-13,Adil Rashid,ENG
17,2017-06-13,Glenn Maxwell,AUS
18,2017-06-13,Kane Williamson,NZ
19,2017-06-13,Paul Stirling,IRE
20,2017-06-13,Mitchell Starc,AUS
1,2017-06-14,Shakib Al Hasan,BAN
2,2017-06-14,Mohammad Hafeez,PAK
3,2017-06-14,Mohammad Nabi,AFG
4,2017-06-14,Angelo Mathews,SL
5,2017-06-14,James Faulkner,AUS
6,2017-06-14,Ben Stokes,ENG
7,2017-06-14,Mitchell Marsh,AUS
8,2017-06-14,Ravindra Jadeja,IND
9,2017-06-14,Jason Holder,WI
10,2017-06-14,Chris Woakes,ENG
11,2017-06-14,Mitchell Santner,NZ
12,2017-06-14,Moeen Ali,ENG
13,2017-06-14,Kevin O'Brien,IRE
14,2017-06-14,Imad Wasim,PAK
15,2017-06-14,Sean Williams,ZIM
16,2017-06-14,Glenn Maxwell,AUS
17,2017-06-14,Kane Williamson,NZ
18,2017-06-14,Paul Stirling,IRE
19,2017-06-14,Mitchell Starc,AUS
20,2017-06-14,Mohammad Nasir Hossain,BAN
1,2017-06-15,Shakib Al Hasan,BAN
2,2017-06-15,Mohammad Hafeez,PAK
3,2017-06-15,Mohammad Nabi,AFG
4,2017-06-15,Angelo Mathews,SL
5,2017-06-15,James Faulkner,AUS
6,2017-06-15,Ben Stokes,ENG
7,2017-06-15,Mitchell Marsh,AUS
8,2017-06-15,Ravindra Jadeja,IND
9,2017-06-15,Jason Holder,WI
10,2017-06-15,Chris Woakes,ENG
11,2017-06-15,Mitchell Santner,NZ
12,2017-06-15,Moeen Ali,ENG
13,2017-06-15,Kevin O'Brien,IRE
14,2017-06-15,Sean Williams,ZIM
15,2017-06-15,Imad Wasim,PAK
16,2017-06-15,Glenn Maxwell,AUS
17,2017-06-15,Kane Williamson,NZ
18,2017-06-15,Paul Stirling,IRE
19,2017-06-15,Mitchell Starc,AUS
20,2017-06-15,Adil Rashid,ENG
1,2017-06-16,Shakib Al Hasan,BAN
2,2017-06-16,Mohammad Hafeez,PAK
3,2017-06-16,Mohammad Nabi,AFG
4,2017-06-16,Angelo Mathews,SL
5,2017-06-16,James Faulkner,AUS
6,2017-06-16,Ben Stokes,ENG
7,2017-06-16,Mitchell Marsh,AUS
8,2017-06-16,Ravindra Jadeja,IND
9,2017-06-16,Jason Holder,WI
10,2017-06-16,Chris Woakes,ENG
11,2017-06-16,Mitchell Santner,NZ
12,2017-06-16,Moeen Ali,ENG
13,2017-06-16,Kevin O'Brien,IRE
14,2017-06-16,Sean Williams,ZIM
15,2017-06-16,Imad Wasim,PAK
16,2017-06-16,Glenn Maxwell,AUS
17,2017-06-16,Kane Williamson,NZ
18,2017-06-16,Paul Stirling,IRE
19,2017-06-16,Mitchell Starc,AUS
20,2017-06-16,Adil Rashid,ENG
1,2017-06-17,Shakib Al Hasan,BAN
2,2017-06-17,Mohammad Hafeez,PAK
3,2017-06-17,Mohammad Nabi,AFG
4,2017-06-17,Angelo Mathews,SL
5,2017-06-17,James Faulkner,AUS
6,2017-06-17,Ben Stokes,ENG
7,2017-06-17,Mitchell Marsh,AUS
8,2017-06-17,Ravindra Jadeja,IND
9,2017-06-17,Jason Holder,WI
10,2017-06-17,Chris Woakes,ENG
11,2017-06-17,Mitchell Santner,NZ
12,2017-06-17,Moeen Ali,ENG
13,2017-06-17,Kevin O'Brien,IRE
14,2017-06-17,Sean Williams,ZIM
15,2017-06-17,Imad Wasim,PAK
16,2017-06-17,Glenn Maxwell,AUS
17,2017-06-17,Kane Williamson,NZ
18,2017-06-17,Paul Stirling,IRE
19,2017-06-17,Mitchell Starc,AUS
20,2017-06-17,Adil Rashid,ENG
1,2017-06-18,Shakib Al Hasan,BAN
2,2017-06-18,Mohammad Hafeez,PAK
3,2017-06-18,Mohammad Nabi,AFG
4,2017-06-18,Angelo Mathews,SL
5,2017-06-18,James Faulkner,AUS
6,2017-06-18,Ben Stokes,ENG
7,2017-06-18,Mitchell Marsh,AUS
8,2017-06-18,Jason Holder,WI
9,2017-06-18,Chris Woakes,ENG
10,2017-06-18,Ravindra Jadeja,IND
11,2017-06-18,Mitchell Santner,NZ
12,2017-06-18,Moeen Ali,ENG
13,2017-06-18,Kevin O'Brien,IRE
14,2017-06-18,Sean Williams,ZIM
15,2017-06-18,Imad Wasim,PAK
16,2017-06-18,Glenn Maxwell,AUS
17,2017-06-18,Kane Williamson,NZ
18,2017-06-18,Paul Stirling,IRE
19,2017-06-18,Mitchell Starc,AUS
20,2017-06-18,Adil Rashid,ENG
1,2017-06-19,Shakib Al Hasan,BAN
2,2017-06-19,Mohammad Hafeez,PAK
3,2017-06-19,Mohammad Nabi,AFG
4,2017-06-19,Angelo Mathews,SL
5,2017-06-19,James Faulkner,AUS
6,2017-06-19,Ben Stokes,ENG
7,2017-06-19,Mitchell Marsh,AUS
8,2017-06-19,Jason Holder,WI
9,2017-06-19,Chris Woakes,ENG
10,2017-06-19,Ravindra Jadeja,IND
11,2017-06-19,Mitchell Santner,NZ
12,2017-06-19,Moeen Ali,ENG
